Date	Event Duration (Hours)	Event Name	Location of Event	Number of Police Department Attendees	Office
03/08/24	0.5	Community Outreach	M&M Center	1	Patrol
03/12/24	0.5	Main Street	Main St.	1	Patrol
03/12/24	0.5	Community Outreach	Veteran's Park	1	Patrol
03/14/24	0.5	Main Street	Main St.	1	Patrol
03/14/24	0.5	Community Outreach	Eastwick College	1	Patrol
03/18/24	0.5	Main Street	Main St.	1	Patrol
03/18/24	0.5	Community Outreach	Carver Park	1	Patrol
03/19/24	0.5	Community Outreach	Temple Beth El	1	Patrol
03/19/24	0.5	Main Street	Main St.	1	Patrol
03/20/24	0.5	Main Street	Main St.	1	Patrol
03/20/24	0.5	Community Outreach	HACPAC	1	Patrol
03/21/24	0.5	Main Street	Main St.	1	Patrol
03/21/24	0.5	Community Outreach	HACPAC	1	Patrol
03/26/24	0.5	Main Street	Main St.	1	Patrol
03/26/24	0.5	Community Outreach	Atlantic Street Park	1	Patrol
03/27/24	0.5	Main Street	Main St.	1	Patrol
03/27/24	0.5	Community Outreach	Court Street & Main Street	5	Patrol
01/01/25	8	Criminal Intelligence Reports (Monthly Total)	Various	1	Crime Suppression Bureau
01/01/25	8	Currency Seized (Monthly Total)	Various	1	Crime Suppression Bureau
01/01/25	8	City Ordinance Citation (Monthly Total)	Various	1	Crime Suppression Bureau
01/01/25	8	Assist Outside Agency (Monthly Total)	Various	1	Crime Suppression Bureau
01/01/25	8	Arrests (Monthly Total)	Various	3	Crime Suppression Bureau
01/01/25	8	Motor Vehicle Stops (Monthly Total)	Various	16	Crime Suppression Bureau
01/01/25	8	Surveillance Reports (Monthly Total)	Various	7	Crime Suppression Bureau
01/01/25	8	Search Warrants Executed (Monthly Total)	Various	2	Crime Suppression Bureau
01/01/25	1	Procession Holy Trinity Church	Holy Trinity	1	Community Engagement
01/01/25	8	Generated Complaints (Monthly Total)	Various	1	Crime Suppression Bureau
01/01/25	8	Warrant Arrests (Monthly Total)	Various	3	Crime Suppression Bureau
01/01/25	8	Subpoenas Generated (Monthly Total)	Various	5	Crime Suppression Bureau
01/05/25	1.25	Trinity Baptist Church	218 Passaic st	1	Community Engagement
01/06/25	0.5	Main Street	Main St.	1	Patrol
01/07/25	0.5	Main Street	Main St.	1	Patrol
01/13/25	0.5	Main Street	Main St.	1	Patrol
01/14/25	0.5	Main Street	Main St.	1	Patrol
01/15/25	0.5	Main Street	Main St.	1	Patrol
01/15/25	2.5	Community Engagement Task 	2 Bergen Plaza	2	Community Engagement
01/21/25	2	The Center for Alcohol & Drug Resources	274 Main st	1	Community Engagement
01/21/25	1	MLK Senior Center	375 First st	3	Community Engagement
01/22/25	0.5	Main Street	Main St.	1	Patrol
01/27/25	5	Blood Drive	215 Hackensack 	1	Community Engagement
01/30/25	0.5	Main Street	Main St.	1	Patrol
01/31/25	8	Search Warrants Executed	Various	2	Crime Suppression Bureau
01/31/25	8	Generated Complaints	Various	1	Crime Suppression Bureau
01/31/25	8	Currency Seized	Various	1	Crime Suppression Bureau
01/31/25	8	Criminal Intelligence Reports	Various	1	Crime Suppression Bureau
01/31/25	8	City Ordinance Citation	Various	1	Crime Suppression Bureau
01/31/25	8	Assist Outside Agency	Various	1	Crime Suppression Bureau
01/31/25	8	Arrests	Various	3	Crime Suppression Bureau
01/31/25	8	Subpoenas Generated	Various	5	Crime Suppression Bureau
01/31/25	8	Motor Vehicle Stops	Various	16	Crime Suppression Bureau
01/31/25	8	Warrant Arrests	Various	3	Crime Suppression Bureau
01/31/25	8	Surveillance Reports	Various	7	Crime Suppression Bureau
02/02/25	0.5	Main Street	Main St.	1	Patrol
02/07/25	2	Hope One Van	380 W. Pleasantview	1	Community Engagement
02/09/25	0.5	Main Street	Main St.	1	Patrol
02/10/25	0.5	Main Street	Main St.	1	Patrol
02/10/25	1.5	Bergen County Adult Services tour 	225 State st	2	Community Engagement
02/17/25	0.5	Main Street	Main St.	1	Patrol
02/18/25	2	Welcome Ramadan 	102 State st	2	Community Engagement
02/19/25	2	Coat Drive for Kids	170b Sussex st	1	Community Engagement
02/24/25	2	Kids Movie Event	274 Main st	1	Community Engagement
02/25/25	2	Black History Month Celebration	Civic Center	1	Community Engagement
03/03/25	0.75	"ECDC ""Read Across America"		1	Community Engagement
03/04/25	0.5	"ECDC ""Read Across America"		1	Community Engagement
03/18/25	2	The Center for Alcohol & Drug Resources	274 Mai st	1	Community Engagement
03/19/25	1	"Career Day ""High School"""	225 State st	1	Community Engagement
03/22/25	3	4th Annual Wellness Journey	Civic Center	2	Community Engagement
03/26/25	2	Women's History Month	102 State st	1	Community Engagement
03/29/25	2	4th Annual Wellness Journey	Civic Center	1	Community Engagement
04/01/25	0.5	Meeting with Home Depot Manager	450 Hackensack	1	Community Engagement
04/02/25	1	Family Yoga	116 Holt st	1	Community Engagement
04/04/25	2	Hope One Van	472 Main st	1	Community Engagement
04/05/25	2	4th Annual Wellness Journey	Civic Center	1	Community Engagement
04/10/25	5	Bergen Promise IDD Autism	3 University Plz	1	Community Engagement
04/12/25	2	4th Annual Wellness Journey	Civic Center	1	Community Engagement
04/15/25	2	The Center for Alcohol & Drug Resources	274 Main st	1	Community Engagement
04/15/25	1	Easter Egg Hunt	Johnson Park	2	Community Engagement
04/16/25	2	Hope One Van	Stop & Shop	1	Community Engagement
04/16/25	1	Pedestrian Safety Presentation	Johnson Library	2	Community Engagement
04/17/25	1	Pedestrian Safety Presentation	Johnson Library	1	Community Engagement
04/22/25	1.5	Pedestrian Safety Presentation	MLK Senior Center Building	2	Community Engagement
04/23/25	1	Johnson Park Sport Complex Ground	Johnson Park	1	Community Engagement
04/24/25	8	Bring Your Kid to Work Day	Headquarters	1	Community Engagement
04/25/25	0.75	Community Engagement Task 	T-4	2	Community Engagement
04/25/25	1	Arbor Day	Nellie K. Parker School	4	Community Engagement
04/27/25	0.5	Main Street	Main St.	1	Patrol
04/30/25	0.5	Main Street	Main St.	1	Patrol
04/30/25	1.5	Nellie K. Parker Street Nameing Vestibule	Nellie K. Parker School	1	Community Engagement
05/01/25	0.67	Sole Society Grand Opening	195 Main st	1	Community Engagement
05/04/25	4	Slam Dunk the Junk	102 State st	1	Community Engagement
05/07/25	1	UNIT Community Meeting	Civic Center	2	Community Engagement
05/10/25	4	Care on the Corner	251 State st	2	Community Engagement
05/14/25	3.75	Boulders Game (R.I.S.E)	York Town NY	5	Community Engagement
05/15/25	3	Main St EXPO	102 State st	2	Community Engagement
05/16/25	5.5	Bergen Promise Breakfast	199 Paramus RD	4	Community Engagement
05/17/25	6	4th Annual Popsicle Event	102 State st	2	Community Engagement
05/20/25	2	The Center for Alcohol & Drug Resources	274 Main st	1	Community Engagement
05/21/25	2	Hope One Van	492 Main st (AlDI)	1	Community Engagement
05/26/25	1	Annual Memorial Day Wreath Laying 	Veterans Park	1	Community Engagement
05/28/25	1.5	MLK Senior Center	375 First st	2	Community Engagement
05/28/25	2	Hope One Van (Stop & Shop)	380 W. Pleasantview	1	Community Engagement
05/30/25	1	Fanny Hillers Middle School		3	Community Engagement
05/30/25	0.75	LGTBQ Flag Raising	102 State st	1	Community Engagement
06/02/25	2.5	Joint PAC PACADA & Prosecutor's Special N	HQ	1	Community Engagement
06/03/25	4.5	Boulders Game (R.I.S.E)	NYC	4	Community Engagement
06/04/25	1	CHIEF FOR A DAY Presentation	207 Poplar ave	3	Community Engagement
06/06/25	8	Torch Run		3	Community Engagement
06/09/25	4	R.I.S.E. Prom Celebration	Houghton Hall	1	Community Engagement
06/10/25	3.5	Election Day	City Hall	1	Community Engagement
06/11/25	2	High School Prom Show Off	Mount Olive Church	6	Community Engagement
06/11/25	2	Hope One Van	AlDI	1	Community Engagement
06/13/25	8	CHIEF FOR A DAY Event		4	Community Engagement
06/16/25	5	"Battle of the Badges ""Red Cross"""	Civic Center	2	Community Engagement
06/21/25	3	FC Royals Family Field Day 	Johnson Park	1	Community Engagement
06/22/25	0.5	Community Outreach	M&M Center	1	Patrol
06/22/25	0.5	Community Outreach		3	Patrol
06/22/25	6.5	Juneteenth Event	Carver Park	8	Community Engagement
06/24/25	5.25	Gun Violence Event	HUMC	2	Community Engagement
06/28/25	4	Hackensack Town Wide Shred Evevnt	Johnson Park	1	Community Engagement
07/04/25	7.98	July 4th Fireworks	Foschini Park	1	Community Engagement
07/07/25	2	Sunset Yoga	Atlantic street Park	1	Community Engagement
07/08/25	1.5	"Summer Concert Series ""Eagle Mania"""	Atlantic street Park	1	Community Engagement
07/09/25	1.5	Shakespeare in the Park	Atlantic street Park	1	Community Engagement
07/10/25	2	(Rejuvenate Grand opening)	193 1/2 Main street	1	Community Engagement
07/11/25	2	Sounds of Summer concert Series	Atlantic street Park	1	Community Engagement
07/15/25	2	"Summer Concert Series ""Super Trans"""	At The Green	1	Community Engagement
07/16/25	2	Hope One Van	AlDI	1	Community Engagement
07/18/25	2	Sounds of Summer concert Series	At The Green	1	Community Engagement
07/22/25	3	Youth Night 	M&M Center	3	Community Engagement
07/22/25	1.5	"Summer Concert Series ""The Nerds"""	Atlantic street Park	1	Community Engagement
07/23/25	1.5	Shakespeare in the Park	Atlantic street Park	1	Community Engagement
07/25/25	2	Sounds of Summer concert Series	At The Green	1	Community Engagement
07/29/25	1.5	"Summer Concert Series ""After Shock"""	Hac Pac Due to weather	1	Community Engagement
08/01/25	2	Sounds of Summer concert Series	At The Green	1	Community Engagement
08/05/25	1.5	"Summer Concert Series ""Steppin Out"""""	Atlantic street Park	3	Community Engagement
08/05/25	4	National Night Out	Atlantic street Park	3	Community Engagement
08/06/25	1.5	"The Comedy Of Errors ""Shakespeare"	Atlantic street Park	1	Community Engagement
08/07/25	1.5	"Movies under the stars ""Lilo & Stich"""	Atlantic street Park	1	Community Engagement
08/08/25	2	Sounds of Summer concert Series	Atlantic street Park	1	Community Engagement
08/12/25	1.5	"Summer Concert Series ""Rebolu"""	Atlantic street Park	1	Community Engagement
08/13/25	1.5	"The Comedy Of Errors ""Shakespeare"	Atlantic street Park	1	Community Engagement
08/14/25	0.5	Community Outreach	M&M Center	1	Patrol
08/14/25	1.5	Youth Night	116 Holt St	2	Community Engagement
08/15/25	2	Sounds of Summer concert Series	Atlantic street Park	1	Community Engagement
08/19/25	1.5	"Summer Concert Series ""Stone Flower"""	Atlantic street Park	1	Community Engagement
08/21/25	1.5	"Movies under the stars ""Iron Giant"""	Atlantic street Park	1	Community Engagement
08/22/25	4	Family Day	375 Huyler st	5	Community Engagement
08/25/25	0.5	Community Outreach	Jackson Ave. School	1	Patrol
08/25/25	8	Youth Academy	Jackson ave school	5	Community Engagement
08/26/25	8	Youth Academy	Jackson ave school	5	Community Engagement
08/27/25	8	Youth Academy	Jackson ave school	5	Community Engagement
08/28/25	8	Youth Academy	Jackson ave school	5	Community Engagement
08/28/25	1.5	"Movies under the stars ""Wicked"""	Atlantic street Park	1	Community Engagement
08/29/25	8	Youth Academy	Jackson ave school	5	Community Engagement
08/30/25	2	Holy Trinity Procession		1	Community Engagement
08/31/25	0.5	Community Outreach	New Hope Church	1	Patrol
09/03/25	2	Hope One Van	Aldi	1	Community Engagement
09/07/25	0.5	Self Care Day	Civic Center	1	Community Engagement
09/11/25	0.5	9/11 Memorial	215 State st	1	Community Engagement
09/13/25	0.5	Salsa Social Event	Banta Place	1	Community Engagement
09/17/25	0.5	Help Bag Hunger Day	ShopRite	3	Community Engagement
09/20/25	0.5	Touch a Truck Event	Foschini Park	1	Community Engagement
09/23/25	0.5	Hope One Van	Stop & Shop	1	Community Engagement
09/23/25	0.5	MlK Senior Center	375 First st	1	Community Engagement
09/25/25	0.5	Save a Life Day	215 State st	1	Community Engagement
09/26/25	0.5	Book Launch	Hac Pac	4	Community Engagement
10/01/25	0.5	Coffee with a Cop	Mc Donalds	6	Community Engagement
10/04/25	0.5	Dance for the Cure	Rec Center	1	Community Engagement
10/06/25	0.5	Boys & Girls Club (Josh Gottenheimer)	170 Sussex 	2	Community Engagement
10/09/25	0.5	Grand Opening (Wonder)	100 River st	2	Community Engagement
10/09/25	0.5	(meeting Halloween)	335 Clinton pl	2	Community Engagement
10/10/25	0.5	Substance Use Prevention Walk	Commencement Green FDU	2	Community Engagement
10/16/25	0.5	Presentation Timothy Shoe maker	HAC PAC	2	Community Engagement
10/17/25	0.5	Bergen County Job Fair	400 Paramus Rd	2	Community Engagement
10/21/25	0.5	Touch a Truck Event	Jackson ave school	5	Community Engagement
10/22/25	0.5	Touch a Truck Event	Hillers	3	Community Engagement
10/22/25	0.5	Hope One Van	Stop & Shop	2	Community Engagement
10/24/25	0.5	"Nellie K. Parker ""Reading for the kids"""	Nellie K. Parker School	1	Community Engagement
10/24/25	0.5	Touch a Truck Event	Fairmount School	6	Community Engagement
10/25/25	0.5	Clinton PL Halloween Event	Clinton pl	2	Community Engagement
10/25/25	0.5	Annual Halloween Party	Rec Center	1	Community Engagement
10/25/25	0.5	Slam Dunk the Junk	102 STate st	1	Community Engagement
10/26/25	0.5	Clinton PL Halloween Event	Clinton pl	2	Community Engagement
10/29/25	0.5	Trunk or Treat Event	555 Main st Bright Adventures school	4	Community Engagement
10/31/25	0.5	Trunk or Treat Event	Mount Olive Church	1	Community Engagement
10/31/25	0.5	Clinton PL Halloween Event	Clinton pl	4	Community Engagement
11/03/25	0.5	Fairmount School Mini Marathon	Fairmount School	6	Community Engagement
11/03/25	0.5	Jackson ave School Fair	Jackson ave school	1	Community Engagement
11/06/25	0.5	Lunch Box Giveaway	Civic Center	3	Community Engagement
11/11/25	0.5	Veteran's Day	at the Green	1	Community Engagement
11/13/25	0.5	Youth Night		1	Community Engagement
